,Unidade,2020,2021,2022,2023,2024,Tipo Vaga
82,1-71,Descoberta,Descoberta,Coberta,Descoberta,Coberta,Regular
83,1-72,Descoberta,Coberta,Descoberta,Descoberta,Descoberta,Regular
84,1-73,Descoberta,Descoberta,Descoberta,Coberta,Descoberta,Regular
85,1-74,Coberta,Descoberta,Descoberta,Coberta,Coberta,PNE
86,1-75,Descoberta,Descoberta,Coberta,Descoberta,Descoberta,Regular
87,1-76,Coberta,Descoberta,Descoberta,Descoberta,Coberta,Regular
88,1-81,Coberta,Descoberta,Descoberta,Descoberta,Coberta,Regular
89,1-82,Coberta,Descoberta,Descoberta,Descoberta,Coberta,Regular
90,1-83,Descoberta,Coberta,Descoberta,Descoberta,Descoberta,Regular
91,1-84,Coberta,Descoberta,Descoberta,Descoberta,Coberta,Regular
92,1-85,Descoberta,Coberta,Descoberta,Descoberta,Descoberta,Regular
93,1-86,Descoberta,Descoberta,Coberta,Descoberta,,Regular
94,1-91,Descoberta,Coberta,Descoberta,Descoberta,Coberta,Regular
95,1-92,Descoberta,Descoberta,Coberta,Descoberta,Descoberta,Regular
96,1-93,Descoberta,Coberta,Coberta,Coberta,Coberta,PNE
97,1-94,Descoberta,Descoberta,Descoberta,Descoberta,Descoberta,PNE
98,1-95,Coberta,Descoberta,Descoberta,Descoberta,Coberta,Regular
99,1-96,Coberta,Descoberta,Descoberta,Coberta,Descoberta,Regular
100,2-1,Descoberta,Descoberta,Coberta,Descoberta,Descoberta,Regular
101,2-101,Descoberta,Descoberta,Coberta,Descoberta,Descoberta,Regular
102,2-102,Descoberta,Coberta,Descoberta,Descoberta,Coberta,Regular
103,2-103,Descoberta,Coberta,Descoberta,Descoberta,Descoberta,Regular
104,2-104,Coberta,Descoberta,Descoberta,Descoberta,Coberta,Regular
105,2-105,Coberta,Descoberta,Descoberta,Descoberta,Coberta,Regular
106,2-106,Descoberta,Descoberta,Descoberta,Coberta,Descoberta,Regular
107,2-11,Descoberta,Descoberta,Coberta,Descoberta,Descoberta,Regular
108,2-111,Coberta,Descoberta,Descoberta,Descoberta,Coberta,Regular
109,2-112,Descoberta,Descoberta,Coberta,Descoberta,Descoberta,Regular
110,2-113,Descoberta,Coberta,Descoberta,Descoberta,Descoberta,Regular
111,2-114,Descoberta,Descoberta,Coberta,Descoberta,Descoberta,Regular
112,2-115,Descoberta,Descoberta,Descoberta,Coberta,Descoberta,Regular
113,2-116,Descoberta,Descoberta,Descoberta,Coberta,Descoberta,Regular
114,2-12,Descoberta,Coberta,Descoberta,Descoberta,Descoberta,Regular
115,2-121,Descoberta,Descoberta,Descoberta,Coberta,Descoberta,Regular
116,2-122,Coberta,Descoberta,Descoberta,Descoberta,Coberta,Regular
117,2-123,Coberta,Descoberta,Descoberta,Descoberta,Coberta,Regular
118,2-124,Descoberta,Descoberta,Coberta,Descoberta,Descoberta,Regular
119,2-125,Descoberta,Coberta,Descoberta,Descoberta,Descoberta,Regular
120,2-126,Descoberta,Descoberta,Coberta,Descoberta,Descoberta,Regular
121,2-13,Descoberta,Coberta,Descoberta,Descoberta,Descoberta,Regular
122,2-131,Descoberta,Coberta,Descoberta,Descoberta,Descoberta,Regular
123,2-132,Descoberta,Descoberta,Descoberta,Descoberta,Descoberta,PNE
124,2-133,Descoberta,Descoberta,Descoberta,Coberta,Descoberta,Regular
125,2-134,Descoberta,Coberta,Descoberta,Descoberta,Descoberta,Regular
126,2-135,Descoberta,Descoberta,Coberta,Descoberta,Descoberta,Regular
127,2-136,Coberta,Descoberta,Descoberta,Coberta,Descoberta,Regular
128,2-14,Coberta,Descoberta,Descoberta,Descoberta,Coberta,Regular
129,2-141,Descoberta,Descoberta,Coberta,Descoberta,Descoberta,Regular
130,2-142,Coberta,Descoberta,Descoberta,Descoberta,Coberta,Regular
131,2-143,Coberta,Descoberta,Descoberta,Descoberta,Coberta,Regular
132,2-144,Coberta,Descoberta,Descoberta,Coberta,Descoberta,Regular
133,2-145,Descoberta,Descoberta,Coberta,Descoberta,Descoberta,Regular
134,2-146,Coberta,Descoberta,Descoberta,Descoberta,Coberta,Regular
135,2-15,Descoberta,Descoberta,Descoberta,Coberta,Descoberta,Regular
136,2-151,Coberta,Descoberta,Descoberta,Descoberta,Coberta,Regular
137,2-152,Descoberta,Descoberta,Coberta,Descoberta,Descoberta,Regular
138,2-153,Descoberta,Coberta,Descoberta,Descoberta,Descoberta,Regular
139,2-154,Descoberta,Descoberta,Coberta,Descoberta,Descoberta,Regular
140,2-155,Descoberta,Descoberta,Coberta,Descoberta,Descoberta,Regular
141,2-156,Coberta,Descoberta,Descoberta,Descoberta,Coberta,Regular
142,2-16,Descoberta,Descoberta,Coberta,Descoberta,Descoberta,Regular
143,2-161,Descoberta,Descoberta,Descoberta,Coberta,Descoberta,Regular
144,2-162,Descoberta,Coberta,Descoberta,Descoberta,Descoberta,Regular
145,2-163,Descoberta,Descoberta,Coberta,Descoberta,Descoberta,Regular
146,2-164,Descoberta,Descoberta,Coberta,Coberta,Coberta,PNE
147,2-165,Descoberta,Descoberta,Descoberta,Coberta,Descoberta,Regular
148,2-166,Descoberta,Descoberta,Coberta,Descoberta,Coberta,Regular
149,2-2,Descoberta,Descoberta,Descoberta,Coberta,Descoberta,Regular
150,2-21,Descoberta,Coberta,Descoberta,Descoberta,Descoberta,Regular
151,2-22,Descoberta,Coberta,Descoberta,Descoberta,Descoberta,Regular
152,2-23,Coberta,Descoberta,Descoberta,Descoberta,Coberta,Regular
153,2-24,Coberta,Descoberta,Descoberta,Descoberta,Coberta,Regular
154,2-25,Descoberta,Descoberta,Coberta,Descoberta,Descoberta,Regular
155,2-26,Coberta,Descoberta,Descoberta,Descoberta,Coberta,Regular
156,2-31,Descoberta,Coberta,Descoberta,Descoberta,Descoberta,Regular
157,2-32,Descoberta,Coberta,Descoberta,Descoberta,Descoberta,Regular
158,2-33,Descoberta,Descoberta,Descoberta,Descoberta,Coberta,Regular
159,2-34,Coberta,Descoberta,Descoberta,Descoberta,Coberta,Regular
160,2-35,Descoberta,Coberta,Descoberta,Descoberta,Descoberta,Regular
161,2-36,Coberta,Descoberta,Descoberta,Descoberta,Coberta,Regular
162,2-4,Descoberta,Descoberta,Coberta,Descoberta,Descoberta,Regular
163,2-41,Descoberta,Descoberta,Descoberta,Coberta,Descoberta,Regular
164,2-42,Descoberta,Coberta,Descoberta,Descoberta,Descoberta,Regular
165,2-43,Descoberta,Coberta,Descoberta,Descoberta,Descoberta,Regular
166,2-44,Coberta,Descoberta,Descoberta,Coberta,Descoberta,Regular
167,2-45,Coberta,Coberta,Coberta,Coberta,Coberta,PNE
168,2-46,Descoberta,Descoberta,Descoberta,Coberta,Descoberta,Regular
169,2-5,Descoberta,Coberta,Descoberta,Descoberta,Descoberta,Regular
170,2-51,Descoberta,Descoberta,Descoberta,Coberta,Descoberta,Regular
171,2-52,Descoberta,Descoberta,Coberta,Descoberta,Descoberta,Regular
172,2-53,Descoberta,Descoberta,Coberta,Descoberta,Descoberta,Regular
173,2-54,Descoberta,Coberta,Descoberta,Descoberta,Descoberta,Regular
174,2-55,Descoberta,Descoberta,Descoberta,Coberta,Descoberta,Regular
175,2-56,Descoberta,Coberta,Descoberta,Descoberta,Descoberta,Regular
176,2-61,Descoberta,Descoberta,Descoberta,Coberta,Descoberta,Regular
177,2-62,Coberta,Descoberta,Descoberta,Descoberta,Coberta,Regular
178,2-63,Coberta,Descoberta,Descoberta,Descoberta,Coberta,Regular
179,2-64,Descoberta,Coberta,Descoberta,Descoberta,Descoberta,Regular
180,2-65,Coberta,Descoberta,Descoberta,Descoberta,Coberta,Regular
181,2-66,Descoberta,Descoberta,Coberta,Descoberta,Descoberta,Regular
182,2-71,Descoberta,Descoberta,Coberta,Descoberta,Descoberta,Regular
183,2-72,Descoberta,Coberta,Descoberta,Descoberta,Descoberta,Regular
184,2-73,Coberta,Descoberta,Descoberta,Descoberta,Descoberta,PNE
185,2-74,Coberta,Descoberta,Descoberta,Descoberta,Coberta,PNE
186,2-75,Coberta,Descoberta,Descoberta,Descoberta,Coberta,Regular
187,2-76,Descoberta,Descoberta,Coberta,Descoberta,Descoberta,Regular
188,2-81,Descoberta,Descoberta,Coberta,Descoberta,Descoberta,Regular
189,2-82,Descoberta,Coberta,Descoberta,Descoberta,Descoberta,Regular
190,2-83,Coberta,Descoberta,Descoberta,Descoberta,Coberta,Regular
